Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
ERR160126_2_val_2	69.46036369507699	17.91676875613538	5.432818450962237	2.0548487701474003	0.9263268377319632	0.5810831649416184	0.346430702599936	0.28044633776458355	0.21928621130513762	1.7820860693009837	0.4175656942457524	0.5798665043808677	0.0021088054070565933	0.0	0.0	0.0
ERR160127_1	65.88051762729935	20.012829037578722	6.595093976486533	2.5099254570748006	1.2031154874106074	0.6122881451713835	0.4197436770158346	0.2881202004446258	0.20967017884510145	1.6867052422076214	0.37524131785945847	0.20674965260589553	0.0	0.0	0.0	0.0
ERR160127_1_val_1	65.23891304032638	20.534742439572522	6.6979722050063595	2.522740633716484	1.2047270754651402	0.5895376997236057	0.4261783374137523	0.2864098161708873	0.22413806569413372	1.6912707081416547	0.3834038157165145	0.19996616305255743	0.0	0.0	0.0	0.0
ERR160127_2	71.163344626134	17.426387371521137	5.472442855942562	1.9661832207707273	0.8728673446289071	0.49571498997264135	0.2967919820302458	0.19520884148217896	0.17329063111128662	1.4665414905719991	0.3435493911859336	0.12767725464821858	0.0	0.0	0.0	0.0
ERR160127_2_val_2	69.69731793699137	18.306243866573492	5.733400236421153	2.0952476117685963	0.9376754588173695	0.5091562607606248	0.28189432143905463	0.21566689332439026	0.1724939613956626	1.5661023261797549	0.3572718165747699	0.12752930975377563	0.0	0.0	0.0	0.0
ERR160128_1	66.60796399823131	19.61157998235051	6.314854888453632	2.3316209558347447	1.1006300492659187	0.6026147163926391	0.38398964541726055	0.23727039555365226	0.21038739131297599	1.7637903293556263	0.4491737776911079	0.3861238701405061	0.0	0.0	0.0	0.0
ERR160128_1_val_1	65.85885823449549	20.207903384891708	6.362266687915785	2.333245515489926	1.1473668121569938	0.581882845769487	0.4024867242997357	0.2708842906742425	0.21268560388126379	1.7910854829427156	0.4602338896988827	0.3711005277835987	0.0	0.0	0.0	0.0
ERR160128_2	71.66567897567072	17.01307069872112	5.309472035783443	1.8596108500473156	0.8430560733010218	0.4570166685761468	0.30354556901387314	0.2404446408772846	0.18116381028863	1.4582577623736486	0.3981846875334967	0.2704982278133093	0.0	0.0	0.0	0.0
ERR160128_2_val_2	69.88139199360594	18.081085421357134	5.657016409486646	1.9724000159615507	0.8896653180963853	0.4925650218487389	0.34417539572871775	0.233618680432817	0.2087528268535526	1.5361144942042164	0.4077189770261081	0.29549544539815414	0.0	0.0	0.0	0.0
ERR160129_1	66.56911240439972	19.045600314961952	6.093473512356925	2.4208164260472875	1.1821946730314674	0.7789699909930261	0.49816517626657986	0.34759292440162964	0.273364261360094	1.93411751189582	0.4487588295950866	0.3920658750593559	0.01576809963113395	0.0	0.0	0.0
ERR160129_1_val_1	65.87185970472575	19.533087589591826	6.2070133198840525	2.4456044052231602	1.2179790851960903	0.7614144131038166	0.5097439112178537	0.35811670955689684	0.2777997334491762	1.9579524024518087	0.4661466025695309	0.3742434779140434	0.019038645116075663	0.0	0.0	0.0
ERR160129_2	71.8966124281139	16.69939599493228	5.017243889175801	1.931254179120265	0.911765807965062	0.5489581638776203	0.3714126701026407	0.27203622886015055	0.21076708518804702	1.50140875421547	0.340496439920416	0.2886178512490987	0.010030507279252424	0.0	0.0	0.0
ERR160129_2_val_2	70.15267680362007	17.70303827966548	5.341733560078548	2.048112438089446	1.0067164017688321	0.5725098508013015	0.4040689368964446	0.29359834412933816	0.19988547889015848	1.603119805571796	0.38401836613680596	0.27970993044973047	0.010811803902022394	0.0	0.0	0.0
